,4019,15417,26797
499.236,0.774708336,0.285432527,0.152485709
499.444,0.758956655,0.248705205,0.187813054
499.652,0.760055949,0.212635497,0.124241067
499.86,0.783131377,0.288177255,0.168654922
500.067,0.809036586,0.27539713,0.122356839
500.275,0.831982701,0.264589657,0.150487114
500.483,0.879381767,0.254299292,0.181109524
500.69,0.783130662,0.282302808,0.137180857
500.898,0.808439288,0.22952771,0.136840089
501.105,0.838747958,0.289539617,0.166354052
501.313,0.851669151,0.280194793,0.156602967
501.521,0.859071681,0.292941278,0.160646327
501.728,0.904150156,0.271070985,0.124994587
501.936,0.905142423,0.26914779,0.210696279
502.143,0.827954673,0.233399573,0.135513205
502.351,0.849468071,0.259535354,0.171582696
502.558,0.874274966,0.33925513,0.223595485
502.766,0.875184937,0.2639054,0.171598135
502.973,0.935977752,0.306196113,0.16948538
503.181,0.905449766,0.286622797,0.157465013
503.388,0.896583719,0.25665985,0.251023541
503.596,0.925119747,0.243756687,0.150101527
503.803,0.953585649,0.283181966,0.232532943
504.011,1.008066928,0.303405449,0.231020155
504.218,0.946445427,0.238049186,0.243722674
504.425,1.00150904,0.282133037,0.190035458
504.633,0.944363018,0.307016602,0.244614642
504.84,0.998737518,0.295013257,0.170454025
505.048,0.959417837,0.273918704,0.168599673
505.255,0.977258699,0.237354615,0.158985709
505.462,1.031416705,0.307070938,0.192800873
505.67,1.075818282,0.304445346,0.150343797
505.877,0.98754908,0.318866766,0.179496429
506.084,1.049101669,0.295592979,0.221004826
506.292,1.052503923,0.253371903,0.186078311
506.499,1.000881719,0.317032483,0.228484952
506.706,1.051808788,0.349167728,0.242946099
506.913,1.069902574,0.357264935,0.1829937
507.121,1.012321812,0.328648827,0.199856769
507.328,1.02321395,0.316608194,0.207936207
507.535,1.073990918,0.320743006,0.235915903
507.742,1.064569945,0.357871991,0.270261165
507.949,1.070654514,0.319495536,0.246724879
508.157,1.042297537,0.285026173,0.246738627
508.364,1.099980865,0.28297171,0.251188791
508.571,1.153585013,0.335318347,0.25369199
508.778,1.135550406,0.337146553,0.196259708
508.985,1.194327051,0.360336286,0.197066429
